cie10_codigo,cie10_diagnostico,grupo_etario,peso_promedio_kg,medicamento,dosis_recomendada_mg_kg,frecuencia,dosis_total_teorica_mg
J219,Bronquiolitis aguda no especificada,Lactante,8.0,Salbutamol,0.15,Cada 4-6 horas,1.2
J219,Bronquiolitis aguda no especificada,Preescolar,16.0,Salbutamol,0.15,Cada 4-6 horas,2.4
J219,Bronquiolitis aguda no especificada,Preescolar,16.0,Budesonida,0.03,Cada 12 horas,0.48
J219,Bronquiolitis aguda no especificada,Escolar,25.0,Budesonida,0.02,Cada 12 horas,0.5
J069,Infección respiratoria aguda,Preescolar,16.0,Amoxicilina,80.0,Cada 8 horas,1280.0
J069,Infección respiratoria aguda,Escolar,25.0,Amoxicilina,80.0,Cada 8 horas,2000.0
J069,Infección respiratoria aguda,Adolescente,45.0,Azitromicina,10.0,Cada 24 horas,450.0
J069,Infección respiratoria aguda,Lactante,8.0,Cefalexina,50.0,Cada 6-8 horas,400.0
R509,Fiebre no especificada,Lactante,8.0,Acetaminofén,15.0,Cada 6 horas,120.0
R509,Fiebre no especificada,Preescolar,16.0,Acetaminofén,15.0,Cada 6 horas,240.0
R509,Fiebre no especificada,Escolar,25.0,Ibuprofeno,10.0,Cada 6-8 horas,250.0
R509,Fiebre no especificada,Adolescente,45.0,Ibuprofeno,10.0,Cada 6-8 horas,450.0
A09X,Diarrea y gastroenteritis,Lactante,8.0,Zinc,1.25,Cada 24 horas,10.0
A09X,Diarrea y gastroenteritis,Preescolar,16.0,Zinc,1.25,Cada 24 horas,20.0
H659,Otitis media no supurativa,Lactante,8.0,Amoxicilina,90.0,Cada 8 horas,720.0
H659,Otitis media no supurativa,Escolar,25.0,Amoxicilina,90.0,Cada 8 horas,2250.0
P369,Sepsis bacteriana del recién nacido,Neonato,3.0,Ceftriaxona,50.0,Cada 24 horas,150.0
E46X,Desnutrición proteicocalórica,Lactante,8.0,Sulfato Ferroso,3.0,Cada 24 horas,24.0
E46X,Desnutrición proteicocalórica,Preescolar,16.0,Sulfato Ferroso,3.0,Cada 24 horas,48.0
K219,Reflujo gastroesofágico,Adolescente,45.0,Omeprazol,1.0,Cada 24 horas,45.0
K219,Reflujo gastroesofágico,Escolar,25.0,Omeprazol,1.0,Cada 24 horas,25.0
L209,Dermatitis atópica,Escolar,25.0,Cetirizina,0.2,Cada 24 horas,5.0
L209,Dermatitis atópica,Adolescente,45.0,Loratadina,0.2,Cada 24 horas,9.0
